source,target,value
azure,.net,20.933192346640457
sql-server,.net,32.322524219339904
asp.net,.net,48.40702996199019
entity-framework,.net,24.37090250532431
wpf,.net,32.35092522005943
linq,.net,20.501743858149066
wcf,.net,28.074400427611113
c#,.net,62.167895042923824
tdd,agile,37.146589924204555
codeigniter,ajax,23.19190040565183
jquery,ajax,50.56672861589973
mysql,ajax,24.80008942291756
css,ajax,26.613713724688935
php,ajax,28.01067925660409
javascript,ajax,24.39914442262329
json,ajax,32.94744601093195
cloud,amazon-web-services,21.31860679884144
azure,amazon-web-services,21.30994959394633
devops,amazon-web-services,24.98353120101788
docker,amazon-web-services,32.198071014100535
ios,android,39.77803622570551
android-studio,android,33.661083176336234
java,android,50.984730766476574
android,android-studio,33.661083176336234
typescript,angular,31.03648178393663
typescript,angular2,38.87998222920348
angularjs,angular2,26.032697164489267
ionic-framework,angularjs,29.840445766924983
reactjs,angularjs,31.62020230471286
