Name,Status,District,"Population
Census
1991-03-01","Population
Census
2001-03-01","Population
Census
2011-03-01"
Abiramam,Town Panchayat,Ramanathapuram,...,"6,638","8,144"
Acharapakkam,Town Panchayat,Kanchipuram,...,"9,023","10,362"
Achipatti,Census Town,Coimbatore,...,"7,448","9,849"
Adaikkakuzhi,Census Town,Kanniyakumari,...,...,"8,888"
Adikaratti,Town Panchayat,The Nilgiris,...,"16,003","14,178"
Adiramapattinam (Adirampattinam),Town Panchayat,Thanjavur,"26,645","27,657","31,066"
Adiyanuthu,Census Town,Dindigul,...,"11,887","17,851"
Aduthurai (Maruthuvakudi),Town Panchayat,Thanjavur,...,"11,479","11,705"
Agaram,Town Panchayat,Dindigul,...,"12,784","15,610"
Agastheeswaram,Town Panchayat,Kanniyakumari,...,"8,995","9,717"
Alagappapuram (Azhagappapuram),Town Panchayat,Kanniyakumari,...,"8,121","9,626"
Alamathi,Census Town,Thiruvallur,...,"5,812","7,424"
Alamelumangapuram,Census Town,Vellore,...,"5,368","7,900"
Alampalayam,Town Panchayat,Namakkal,...,"15,255","20,286"
Alandur,Municipality,Kanchipuram,"125,244","146,287","164,430"
Alanganallur,Town Panchayat,Madurai,...,"11,078","12,331"
Alangayam,Town Panchayat,Vellore,...,"16,851","18,327"
Alangudi,Town Panchayat,Pudukkottai,"10,882","10,761","12,367"
Alangulam,Census Town,Virudhunagar,...,"4,969","4,930"
Alangulam,Town Panchayat,Tirunelveli,...,"17,923","20,948"
Alanthurai,Town Panchayat,Coimbatore,...,"7,130","7,221"
Alapakkam,Census Town,Kanchipuram,...,"5,015","9,404"
Allapuram,Town Panchayat,Vellore,"21,424","26,948","31,211"
Alur (Aloor),Town Panchayat,Kanniyakumari,...,"12,379","15,063"
Alwarkurichi,Town Panchayat,Tirunelveli,...,"9,459","10,045"
Alwarthirunagiri,Town Panchayat,Thoothukkudi,...,"8,883","9,289"
Amathur,Census Town,Virudhunagar,...,"4,163","4,708"
Ambasamudram,Municipality,Tirunelveli,"33,893","32,739","35,645"
Ambattur,Municipality,Thiruvallur,"215,424","310,967","466,205"
Ambur,Municipality,Vellore,"75,911","99,624","114,608"
Ammainaickanur,Town Panchayat,Dindigul,...,"16,604","19,257"
Ammanur,Census Town,Vellore,...,"4,903","7,731"
Ammapattinam,Census Town,Pudukkottai,...,...,"6,652"
